Filename,Original Size (KB),Compressed Size (KB),Compression Ratio (%),Original Format,Processing Time (ms)
cam_img1.jpg,383.32,389.91,101.7,jpeg,448
cam_img2.jpg,84.58,82.77,97.9,jpeg,61
cam_img3.jpg,1268.68,1297.00,102.2,jpeg,669
cam_img4.jpg,1256.70,1259.54,100.2,jpeg,743
cam_img5.jpg,642.94,666.74,103.7,jpeg,515
freepik1.jpg,5537.22,2576.23,46.5,jpeg,1524
freepik2.jpg,5206.85,2721.00,52.3,jpeg,1807
freepik3.jpg,1618.57,958.91,59.2,jpeg,855
freepik4.jpg,2840.61,698.89,24.6,jpeg,1056
freepik5.jpg,739.24,314.46,42.5,jpeg,335
freepik6.jpg,4142.13,1151.77,27.8,jpeg,1172
freepik7.jpg,1268.36,407.32,32.1,jpeg,372
ss1.png,251.58,79.70,31.7,png,121
ss2.png,436.25,131.28,30.1,png,209
ss3.png,396.12,120.99,30.5,png,187
ss4.png,303.97,81.74,26.9,png,219
ss5.png,1042.77,346.62,33.2,png,486
